t,x,y,z,yaw,gps_x,gps_y,gps_z,imu_yaw,odo,min_lidar,moisture
0.0,4.0,4.0,0.6733478144288383,0.0,4.011486551813105,4.002630759246357,0.6707696580692418,0.004734862318724336,-0.006832841928389878,4.000000000000001,0.27837714406862085
0.029547691345214844,4.0,4.0,0.6733478144288383,0.0,4.004096600800791,4.023687822455542,0.6787854196768861,-0.010228195225034166,-0.0131794741525422,4.000000000000001,0.27837714406862085
0.05897045135498047,4.0,4.0,0.6733478144288383,0.0,4.016316512948997,4.026098149470001,0.6744594255001227,0.015158697721955954,-0.003826750832614102,4.000000000000001,0.27837714406862085
0.08726787567138672,4.0,4.0,0.6733478144288383,0.0,4.020858052561732,4.006516429260422,0.6640522407546222,0.00293238965208304,-0.01656506691347532,4.000000000000001,0.27837714406862085
0.11640715599060059,4.0,4.0,0.6733478144288383,0.0,4.01054978441561,4.01089495428901,0.6569528082780608,-0.00014418065721961932,-0.012295698853651013,4.000000000000001,0.27837714406862085
0.14493370056152344,4.0,4.0,0.6733478144288383,0.0,4.008103415633981,4.014545670951293,0.6690401760300887,0.0008259810627363404,0.0014911301532954358,4.000000000000001,0.27837714406862085
0.17347025871276855,4.0,4.0,0.6733478144288383,0.0,3.9969394752255183,3.992897528874012,0.6714724630108232,0.008083326659989181,-0.004726959152510555,4.000000000000001,0.27837714406862085
0.20090508460998535,4.0,4.0,0.6733478144288383,0.0,4.000249561192099,4.015246464070517,0.6683208722907634,0.0020249798979570743,0.013021225270040385,4.000000000000001,0.27837714406862085
0.22888851165771484,4.0,4.0,0.6733478144288383,0.0,3.9706908230631086,3.983804495271795,0.6783445775087054,0.0069514372603902376,0.006478160724718307,4.000000000000001,0.27837714406862085
0.2574279308319092,4.0,4.0,0.6733478144288383,0.0,3.995608555980245,3.9925917139490292,0.6847908700519011,-0.006573037807423168,-0.010414422623470539,4.000000000000001,0.27837714406862085
0.28546905517578125,4.0,4.0,0.6733478144288383,0.0,3.9969003967105317,4.0009937939682505,0.6851290876233871,-0.0018914219780822167,-0.0035726239684199085,4.000000000000001,0.27837714406862085
0.3135683536529541,4.0,4.0,0.6733478144288383,0.0,3.9726107775512944,3.9761442726083063,0.665338225820928,0.003236146296456051,-0.011445561436107613,4.000000000000001,0.27837714406862085
0.3410658836364746,4.0,4.0,0.6733478144288383,0.0,3.973852045193042,4.010583174386743,0.6676561510411138,-0.009531314122678906,-0.008826904052817063,4.000000000000001,0.27837714406862085
0.36910009384155273,4.0,4.0,0.6733478144288383,0.0,4.02192387209913,4.052955429761132,0.6645879791811891,0.005581862098997036,0.007576653168006796,4.000000000000001,0.27837714406862085
0.39837193489074707,4.0,4.0,0.6733478144288383,0.0,4.013345989687554,3.9335151537643185,0.6893701129024087,0.011440734882542767,-0.005141129495042694,4.000000000000001,0.27837714406862085
0.4283890724182129,4.0,4.0,0.6733478144288383,0.0,3.995688626683771,4.0142311915221365,0.6721084887630894,0.0005631995113891597,0.0017010258148819797,4.000000000000001,0.27837714406862085
0.4559786319732666,4.0,4.0,0.6733478144288383,0.0,3.9920862455172106,3.9900086156447436,0.6820961049713546,0.003929494486604945,0.009541122242333708,4.000000000000001,0.27837714406862085
0.4835019111633301,4.0,4.0,0.6733478144288383,0.0,4.006218392219981,3.9993158256425296,0.6653970920423734,0.003250125584399649,-0.011152086427482279,4.000000000000001,0.27837714406862085
0.5119619369506836,4.0,4.0,0.6733478144288383,0.0,4.035620472486618,4.02066033552815,0.6733320612335497,0.012113225002545846,0.016120987804253372,4.000000000000001,0.27837714406862085
0.5414879322052002,4.0,4.0,0.6733478144288383,0.0,3.995283054338159,4.004602881209772,0.6665233188037255,5.682291240674616e-05,0.0056842100445319696,4.000000000000001,0.27837714406862085
0.570526123046875,4.0,4.0,0.6733478144288383,0.0,4.025929061014862,4.007863065882562,0.6863085066391506,-0.0178450268367984,-0.008640043120101984,4.000000000000001,0.27837714406862085
0.5983779430389404,4.0,4.0,0.6733478144288383,0.0,3.9842414112557387,4.010895427944149,0.6951627444425867,0.0042388018472981565,-0.003407006854391069,4.000000000000001,0.27837714406862085
0.6264641284942627,4.0,4.0,0.6733478144288383,0.0,3.995446634303418,3.962359406707803,0.6747569239566873,-0.011007898070993918,0.007442736787400986,4.000000000000001,0.27837714406862085
0.6558380126953125,4.0,4.0,0.6733478144288383,0.0,3.9909365474031913,3.970621168550117,0.6833094321904862,0.0014923567646434371,0.01281887171598048,4.000000000000001,0.27837714406862085
0.6833634376525879,4.0,4.0,0.6733478144288383,0.0,3.9730413617566773,4.012876993142314,0.6792186820030512,0.008210398008764068,-0.008427038566456813,4.000000000000001,0.27837714406862085
0.7119045257568359,4.0,4.0,0.6733478144288383,0.0,3.9629093641232807,4.009871879330983,0.6627316620658124,-0.000699422110294079,-0.010807409428358568,4.000000000000001,0.27837714406862085
0.7398653030395508,4.0,4.0,0.6733478144288383,0.0,4.017775034121905,4.026534468547532,0.6777792443075967,-0.0110948133272774,0.004657416352437531,4.000000000000001,0.27837714406862085
0.7677154541015625,4.0,4.0,0.6733478144288383,0.0,3.9872242807173923,3.9657537219871744,0.6693732173697522,-0.009594385066313374,-0.01904850747279781,4.000000000000001,0.27837714406862085
0.7967846393585205,4.0,4.0,0.6733478144288383,0.0,4.0108547677283735,4.012426041196895,0.6846750332137007,0.010065502744916575,0.013719656596814787,4.000000000000001,0.27837714406862085
